Sample_Number,Sample ID,L_Tron,T_Ment,T_Ment#,Week,Date (DD-MM-YYYY),Time (24:00),Nutrient sampled,Well-plate,Depth,Equipment Used,Sample Vol (mL),Who? (Initials) ,Notes
38,38 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,2,20-07-2023,14:23,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
39,39 - Particulate C/N/P,3,Salt + Heat,1,2,20-07-2023,14:23,Particulate C/N/P,B11,Integrated,Zoop Tube,30,HC/AA,
40,40 - TP/TN,4,Heat,1,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
41,41 - SRP/NH4/NO3/NO2,4,Heat,1,2,20-07-2023,14:36,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
42,42 - Particulate C/N/P,4,Heat,1,2,20-07-2023,14:36,Particulate C/N/P,B12,Integrated,Zoop Tube,30,HC/AA,
43,43 - TP/TN,5,Control,2,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
44,44 - SRP/NH4/NO3/NO2,5,Control,2,2,20-07-2023,14:42,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
45,45 - Particulate C/N/P,5,Control,2,2,20-07-2023,14:42,Particulate C/N/P,C1,Integrated,Zoop Tube,30,HC/AA,
46,46 - TP/TN,6,Salt,2,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
47,47 - SRP/NH4/NO3/NO2,6,Salt,2,2,20-07-2023,14:42,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
48,48 - Particulate C/N/P,6,Salt,2,2,20-07-2023,14:42,Particulate C/N/P,C2,Integrated,Zoop Tube,30,HC/AA,
49,49 - TP/TN,7,Heat,2,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
